"","source","no_rel","nbpc","year","date_deb","trait","lat","long","no_str","prof_moy","Tmp_fond","Sal_Fond","region","month","day","date","Label","bathymetry","Cfin_mg","Cgla_mg","Chyp_mg","temp","Cal_mg"
"101",16,17,39,2020,"2020-08-27",107,51.571,-56.6196666666667,NA,NA,NA,NA,"NGSL","08",NA,2020-08-27,"53276",63,663.067124463927,936.014585389572,5731.57037806982,"3C",7330.65208792332
"102",16,17,39,2020,"2020-08-27",110,51.8481666666667,-55.9265,840,111,-0.78,32.73,"NGSL","08",NA,2020-08-27,"53802",98.773193359375,1106.25797628742,1575.41445714287,6879.88458420848,"3C",9561.55701763876
"103",16,17,39,2020,"2020-08-28",113,51.5333333333333,-56.2963333333333,838,62,3.44,31.915,"NGSL","08",NA,2020-08-28,"53108",45.7186088562012,194.135746498926,312.33912009968,1228.0202409321,"3C",1734.4951075307
"104",16,17,39,2020,"2020-08-28",116,50.876,-57.8753333333333,837,72,0.07,32.196,"NGSL","08",NA,2020-08-28,"51797",87.4949188232422,1000.74183289545,1273.66165704424,5490.85559397327,"3C",7765.25908391296
"105",16,17,39,2020,"2020-08-29",119,50.2906666666667,-58.3943333333333,NA,334,NA,NA,"NGSL","08",NA,2020-08-29,"50203",310.969909667969,3324.2291719714,1642.96333722994,25233.3404204493,"3C",30200.5329296507
"106",16,17,39,2020,"2020-08-29",122,49.9993333333333,-58.9618333333333,801,282,6.96,34.671,"NGSL","08",NA,2020-08-29,"49372",262.023895263672,3266.82809665503,1503.16405674039,16042.697066627,"3C",20812.6892200224
"107",16,17,39,2020,"2020-08-29",125,49.7648333333333,-59.7255,814,210,5.79,34.182,"NGSL","08",NA,2020-08-29,"48538",200.927200317383,3377.56653016916,1652.36191604124,15559.7760737569,"3C",20589.7045199673
"108",16,17,39,2020,"2020-08-30",128,49.4806666666667,-58.8015,822,NA,NA,NA,"NGSL","08",NA,2020-08-30,"47764",140.017196655273,2426.56395262551,1137.90750712452,7648.01716545892,"3C",11212.488625209
"109",16,17,39,2020,"2020-08-30",131,49.079,-59.1028333333333,822,102,1.83,32.931,"NGSL","08",NA,2020-08-30,"46567",95.2219772338867,1212.81538759651,544.707096452038,2262.61119383538,"3C",4020.13367788393
"110",16,17,39,2020,"2020-08-30",134,48.9891666666667,-58.7576666666667,835,51,0.89,31.923,"NGSL","08",NA,2020-08-30,"46338",50.3638000488281,358.590771421042,183.368847537217,909.386706971879,"3C",1451.34632593014
"111",16,17,39,2020,"2020-08-31",137,48.8658333333333,-59.6326666666667,811,246,7.2,34.702,"NGSL","08",NA,2020-08-31,"45859",249.651397705078,1321.67646778135,495.2384710085,969.009658533288,"3C",2785.92459732313
"112",16,17,39,2020,"2020-08-31",140,48.488,-60.1528333333333,808,341,6.59,34.955,"NGSL","08",NA,2020-08-31,"44965",340.705810546875,1265.1095552585,453.012911332993,1537.49257289252,"3C",3255.61503948401
"113",16,17,39,2020,"2020-09-01",143,48.216,-59.8406666666667,810,327,6.97,34.935,"NGSL","09",NA,2020-09-01,"44320",298.790008544922,1998.39652736542,461.759175933849,687.624775404943,"3C",3147.78047870421
"114",16,17,39,2020,"2020-09-01",146,48.4303333333333,-59.1626666666667,835,74,1.41,32.439,"NGSL","09",NA,2020-09-01,"44763",70.7574234008789,1142.14147136578,203.593503600156,1232.80207682914,"3C",2578.53705179508
"115",16,17,39,2020,"2020-09-01",149,47.9906666666667,-59.4595,820,115,2.98,33.107,"NGSL","09",NA,2020-09-01,"43658",152.424499511719,2050.25411978418,217.032950976971,647.897886950308,"3C",2915.18495771145
"116",16,17,39,2020,"2020-09-01",152,47.8275,-59.961,802,496,6.14,34.984,"NGSL","09",NA,2020-09-01,"43199",499.916198730469,488.631785900413,114.950180250811,627.051202072637,"3C",1230.63316822386
"117",16,17,39,2020,"2020-09-02",155,47.5448333333333,-60.4521666666667,401,207,6.11,34.257,"NGSL","09",NA,2020-09-02,"42485",317.263214111328,2254.4153109406,316.433049772624,924.646776471019,"3C",3495.49513718424
